term,fresh freq,plot freq,rotten freq,fresh rank,rotten rank,sum freq,z score
must,14,18,16,13047,13118,48,-0.2640378476297135
new,47,55,48,13353,13353,150,-0.1314615845006192
from,165,79,154,13433,13427,398,0.18524287563717654
another,34,12,51,13307,13359,97,-1.6445008003870705
already,6,3,14,12320,13068,23,-1.2645293114832765
about,153,39,143,13429,13423,335,0.19758214954394168
whose,9,6,14,12745,13069,29,-0.9479072468313962
investigation,0,11,0,1,1,11,0.0
investigating,0,4,1,2,5561,5,-0.678396570235288
young,23,23,16,13220,13119,62,0.7617299705023562
passions,3,1,0,11048,2,4,1.1880785568932775
is,818,293,726,13456,13455,1837,1.2788295609397378
as,430,141,441,13451,13452,1012,-0.7289794054008047
hunnam,1,2,0,5503,3,3,0.29440016605737607
embry,0,3,0,3,4,3,0.0
begins,12,15,4,12964,11824,31,1.6460940619348938
reappearance,0,1,0,4,5,1,0.0
when,43,82,76,13340,13398,201,-2.182039894454703
even,85,12,92,13403,13408,189,-0.6729274886694326
his,161,256,107,13430,13414,524,2.4273365504596462
two,43,34,32,13341,13297,109,0.741117077602849
haunts,0,1,0,5,6,1,0.0
unexplained,0,2,1,6,5562,3,-0.7442335789726501
choose,1,3,3,5504,11220,7,-0.4291206078384147
complete,5,5,8,12070,12698,18,-0.4820994257034601
disappearance,0,2,0,7,7,2,0.0
sudden,1,2,1,5505,5563,4,-0.01929647334532609
langan,0,1,0,8,8,1,0.0
which,53,21,53,13366,13365,127,-0.11444275291079516
old,53,25,44,13367,13340,122,0.6134135925358463
memory,10,3,4,12834,11825,17,0.8635491402225812
connection,3,2,0,11049,9,5,0.7296590336245241
an,333,133,256,13447,13441,722,2.1993285033084953
exams,0,2,0,9,10,2,0.0
continues,4,5,0,11690,11,9,1.2541339883922273
possible,9,4,6,12746,12388,19,0.4240498472336015
severe,1,1,1,5506,5564,3,-0.014873320191540761
senior,0,2,0,10,12,2,0.0
thesis,0,2,0,11,13,2,0.0
katie,0,1,0,12,14,1,0.0
faces,1,2,4,5507,11826,7,-1.0507423863911112
burke,1,1,0,5508,15,2,0.635899370828536
facts,2,1,1,9805,5565,4,0.288652430947605
and,1637,556,1179,13460,13459,3372,5.5203415819547805
college,4,4,9,11691,12798,17,-0.7243734788415858
interview,0,2,0,13,16,2,0.0
confront,1,3,0,5509,17,4,0.7277574312557218
after,20,45,45,13179,13344,110,-2.163981395776512
detective,5,10,0,12071,18,15,1.6149392646548066
under,14,11,18,13048,13157,43,-0.4599073267940166
police,2,10,5,9806,12162,17,-0.683974480934396
prestigious,0,2,0,14,19,2,0.0
a,1775,674,1613,13461,13461,4062,1.401728733040743
job,11,11,8,12901,12699,30,0.35184591584419683
the,2346,1007,2288,13462,13462,5641,-0.26797949033288065
competitive,0,1,0,15,20,1,0.0
process,9,6,4,12747,11827,19,0.6675151796767375
between,37,18,27,13316,13251,82,0.8116403017926928
pressure,2,2,1,9807,5566,5,0.252629900856896
year,60,23,32,13379,13298,115,1.9132115182735963
land,4,6,4,11692,11828,14,-0.02631283832536561
she,20,73,18,13180,13158,111,0.12507001317390204
forced,2,8,11,9808,12930,21,-1.9996480395318028
man,45,37,25,13346,13232,107,1.7878095035436912
charlie,7,4,1,12505,5567,12,1.677633951976882
holmes,0,2,1,16,5568,3,-0.6188385594121306
boyfriend,0,6,0,17,21,6,0.0
discovering,0,4,0,18,22,4,0.0
catherine,1,3,0,5510,23,4,0.5517172504151018
past,12,12,14,12965,13070,38,-0.35406391242479085
obsesses,0,1,0,19,24,1,0.0
all,167,46,164,13434,13430,377,-0.1076559388486683
completion,0,1,0,20,25,1,0.0
handler,0,2,0,21,26,2,0.0
possibilities,1,2,1,5511,5569,4,-0.01857284260990776
to,942,556,1010,13458,13458,2508,-1.5486638069964933
campus,0,2,0,22,27,2,0.0
wade,0,3,1,23,5570,4,-0.6809446598532407
at,152,61,152,13428,13426,365,-0.19543573466431494
bratt,0,1,1,24,5571,2,-0.5695094216634156
elite,0,5,0,25,28,5,0.0
surprising,9,1,8,12748,12700,18,0.16262949825165934
her,39,184,25,13324,13233,248,1.0555382211500643
compounded,0,1,0,26,29,1,0.0
absence,1,1,1,5512,5572,3,-0.015907050376594536
of,1480,457,1235,13459,13460,3172,2.675109308877754
ability,8,1,3,12639,11221,12,1.012606258768755
available,2,1,0,9809,30,3,0.215295329754042
cool,7,1,13,12506,13024,21,-1.115697971532564
commitment,0,1,1,27,5573,2,-0.41675946983652445
hornby,2,1,0,9810,31,3,0.8980164790082846
with,441,170,317,13452,13447,928,2.916799060367311
meetings,0,2,0,28,32,2,0.0
s,808,226,749,13455,13456,1783,0.6572351555452652
realizes,1,3,1,5513,5574,5,-0.023748217524412193
will,92,38,80,13411,13402,210,0.4143930948034249
school,9,21,13,12749,13025,43,-0.45010795794640146
child,3,5,5,11050,12163,13,-0.36959320553945874
himself,6,19,9,12321,12799,34,-0.6724738287330932
result,5,3,8,12072,12701,16,-0.5092527497841994
single,7,6,8,12507,12702,21,-0.19190410148317674
comedy,90,7,89,13410,13406,186,-0.1643843863109064
alone,6,4,10,12322,12863,20,-0.8635604145668471
bachelorhood,0,1,0,29,33,1,
imaginary,0,1,1,30,5575,2,-0.7463198167588024
search,5,8,4,12073,11829,17,0.055496015902540254
kid,12,2,7,12966,12569,21,0.9503281892521172
grant,21,4,7,13200,12570,32,2.1347274182638385
irresponsible,1,2,2,5514,9973,5,-0.5743403575708479
popular,9,6,0,12750,34,15,1.4994789525203873
confident,0,1,0,31,35,1,0.0
how,45,11,56,13347,13369,112,-0.857985569523907
teaches,0,3,1,32,5576,4,-0.6592837827376357
meets,3,12,2,11051,9974,17,0.306184399136099
invents,0,1,0,33,36,1,0.0
them,44,28,46,13344,13348,118,-0.27304438137516446
many,46,7,45,13350,13345,98,-0.05082291800335932
helps,5,1,0,12074,37,6,1.4065432574202457
continued,1,2,0,5515,38,3,0.3156093159096851
problems,5,1,7,12075,12571,13,-0.35982645214470976
opposite,0,2,2,34,9975,4,-0.918464127434762
interrupted,0,1,0,35,39,1,0.0
mums,0,1,0,36,40,1,0.0
string,2,1,4,9811,11830,7,-0.506053809152975
free,3,4,6,11052,12389,13,-0.21047669511269662
starts,4,10,10,11693,12864,24,-1.4089192413569662
involved,3,2,8,11053,12703,13,-1.0589742257750145
are,161,62,154,13431,13428,377,0.04598178249348623
friends,3,19,3,11054,11222,25,-0.0198582739082083
liaisons,0,1,0,37,41,1,0.0
finally,8,8,9,12640,12800,25,-0.24917214232857327
cold,5,1,10,12076,12865,16,-1.072885578086835
but,382,75,372,13450,13449,829,-0.11592701037361146
meet,2,4,2,9812,9976,8,-0.014738210550151065
boy,17,14,9,13128,12801,40,1.2052398680386789
up,98,51,127,13415,13417,276,-1.6475871500897445
