term,Negative freq,Plot freq,Positive freq,score,cnt,logcnt
process,4,6,9,0.03787433940105696,13,3.700439718141092
catherine,0,3,1,0.007574867880211391,1,0.0
sudden,1,2,1,-0.0001174398120963021,2,1.0
which,53,21,53,-0.010745742806811509,106,6.727920454563199
hunnam,0,2,1,0.007574867880211391,1,0.0
college,9,4,4,-0.038755137991779216,13,3.700439718141092
charlie,1,4,7,0.04568408690546095,8,3.0
about,143,39,153,0.05566647093364652,296,8.20945336562895
severe,1,1,1,-0.0001174398120963021,2,1.0
facts,1,1,2,0.0075161479741632405,3,1.5849625007211563
faces,4,2,1,-0.023194362889019382,5,2.321928094887362
all,164,46,167,0.03241338813857897,331,8.370687406807217
under,18,11,14,-0.031650029359953036,32,5.0
between,27,18,37,0.07469172049324718,64,6.0
possible,6,4,9,0.022489724016441573,15,3.9068905956085187
continues,0,5,4,0.03047563123899002,4,2.0
year,32,23,60,0.18890193775689962,92,6.523561956057013
burke,0,1,1,0.007574867880211391,1,0.0
already,14,3,6,-0.0619495008807986,20,4.321928094887363
from,154,79,165,0.040164415736934744,319,8.31741261376487
she,18,73,20,0.014151497357604209,38,5.247927513443585
job,8,11,11,0.02237228420434527,19,4.247927513443585
police,5,10,2,-0.02325308279506753,7,2.807354922057604
man,25,37,45,0.1511450381679389,70,6.129283016944967
absence,1,1,1,-0.0001174398120963021,2,1.0
land,4,6,4,-0.00029359953024075264,8,3.0
past,14,12,12,-0.016147974163241346,26,4.700439718141093
passions,0,1,3,0.022842043452730474,3,1.5849625007211563
holmes,1,2,0,-0.007751027598355844,1,0.0
memory,4,3,10,0.0455079271873165,14,3.8073549220576037
possibilities,1,2,1,-0.0001174398120963021,2,1.0
young,16,23,23,0.05243687610099823,39,5.285402218862249
begins,4,15,12,0.06077510275983558,16,4.0
at,152,61,152,0.024955960070463967,304,8.247927513443585
investigating,1,4,0,-0.007751027598355844,1,0.0
whose,14,6,9,-0.03904873752201997,23,4.523561956057013
to,1010,556,942,0.00023487962419255215,1952,10.930737337562887
complete,8,5,5,-0.023429242513211983,13,3.700439718141092
pressure,1,2,2,0.0075161479741632405,3,1.5849625007211563
surprising,8,1,9,0.0071051086318261875,17,4.08746284125034
two,32,34,43,0.08203170874926602,75,6.22881869049588
new,48,55,47,-0.010510863182618901,95,6.569855608330948
is,726,293,818,0.00804462712859666,1544,10.592457037268082
his,107,256,161,0.11714621256605984,268,8.066089190457772
the,2288,1007,2346,0.0,4634,12.178042328864823
unexplained,1,2,0,-0.007751027598355844,1,0.0
and,1179,556,1637,0.0078097475044039966,2816,11.459431618637298
another,51,12,34,-0.12513211978860833,85,6.409390936137703
after,45,45,20,-0.1935408103347035,65,6.022367813028454
forced,11,8,2,-0.06940692894891369,13,3.700439718141092
confront,0,3,1,0.007574867880211391,1,0.0
as,441,141,430,-0.007046388725778119,871,9.766528908598865
old,44,25,53,0.05079271873165003,97,6.599912842187128
detective,0,10,5,0.03810921902524956,5,2.321928094887362
a,1613,674,1775,5.871990604811028e-05,3388,11.7262181593322
wade,1,3,0,-0.007751027598355844,1,0.0
her,25,184,39,0.10534351145038168,64,6.0
even,92,12,85,-0.01990604815032293,177,7.467605550082998
of,1235,457,1480,-0.007516147974163334,2715,11.406736482691723
choose,3,3,1,-0.015502055196711688,4,2.0
bratt,1,1,0,-0.007751027598355844,1,0.0
must,16,18,14,-0.01626541397533765,30,4.906890595608519
connection,0,2,3,0.022842043452730474,3,1.5849625007211563
an,256,133,333,0.04703464474456842,589,9.20212382383046
when,76,82,43,-0.21027598355842625,119,6.894817763307944
for,364,152,376,0.008455666470933543,740,9.531381460516313
meets,2,12,3,0.0074574280681150885,5,2.321928094887362
nick,1,10,1,-0.0001174398120963021,2,1.0
in,622,312,676,0.0004697592483852153,1298,10.342074667999139
helps,0,1,5,0.03810921902524956,5,2.321928094887362
